"Airports";"Periods";"Aircraft movements/Cross-country flights (number)";"Aircraft movements/Local flights (number)";"Commercial air traffic/Flights/All flights/Total flights (number)";"Commercial air traffic/Flights/All flights/Scheduled (number)";"Commercial air traffic/Passengers/Total passengers/Total passengers (number)";"Commercial air traffic/Cargo/Total cargo/Total cargo (ton)";"Commercial air traffic/Mail/Total mail/Total mail (ton)"
"Total Dutch airports";"2018";602096;54758;564546;540800;79606318;1818955;21486
"Total Dutch airports";"2019";603633;51939;566031;552061;81167301;1681703;21959
"Total Dutch airports";"2020 January*";43913;3006;41768;41111;5595249;122254;1908
"Total Dutch airports";"2020 February*";41559;3476;39299;38537;5281600;126726;1491
"Total Dutch airports";"2020 March*";30705;4099;28306;27414;2773554;127995;1167
"Total Dutch airports";"2020 April*";6093;1991;4759;4175;133752;103420;382
"Total Dutch airports";"2020 May*";8781;4397;6556;5738;220120;117525;542
"Total Dutch airports";"2020 June*";12305;6417;9336;8589;526544;121692;855
"Total Dutch airports";"2020 July*";23209;7456;19701;18753;1690515;132684;1083
"Total Dutch airports";"2020 August*";30641;6897;27575;26702;2242935;133168;1283
"Total Dutch airports";"2020 September*";28850;7154;25290;24515;1547263;135059;1251
"Total Dutch airports";"2020 October*";24471;6982;22028;21435;1303123;153109;1521
"Total Dutch airports";"2020 November*";18585;6537;16283;15490;965071;157508;1511
"Total Dutch airports";"2020 December*";19070;3243;17325;16271;1306018;146441;1837
"Total Dutch airports";"2020*";288182;61655;258226;248730;23585744;1577582;14831
"Total Dutch airports";"2021 January*";17466;2134;15907;15129;909617;140859;1403
"Total Dutch airports";"2021 February*";12995;3003;11528;10735;519827;137288;1109
"Total Dutch airports";"2021 March*";15789;9371;13228;12287;676647;165377;1379
"Total Dutch airports";"2021 April*";17967;8954;14891;14062;817876;152164;1258
"Total Dutch airports";"2021 May*";20237;8649;16987;16267;1169673;158164;1223
"Total Dutch airports";"2021 June*";25536;9299;21701;20885;1870330;145582;1128
"Total Dutch airports";"2021 July*";37718;7338;33916;32642;3515159;138789;978
"Total Dutch airports";"2021 August*";40922;8740;37282;36045;4479180;140198;1049
"Total Dutch airports";"2021 September*";39712;8785;35262;34040;4013477;144584;1002
"Total Dutch airports";"2021 October*";40489;6890;36465;35295;4395945;161776;1040
"Total Dutch airports";"2021 November*";35131;6510;32026;31023;3492940;156617;943
