"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"","
"Aruba,""ABW"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Africa Eastern and Southern,""AFE"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Afghanistan,""AFG"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Africa Western and Central,""AFW"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Angola,""AGO"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Albania,""ALB"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""53"",""42"",""23"",""25"",""26"",""28"",""19"",""21"",""32"",""32"",""26"",""36"",""53"",""52"",""46"",""66"",""50"",""25"",""23"",""39.887"",""23.124"",""8.8"",""25.3"",""20.4"",""42.94"","""","""","
"Andorra,""AND"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Arab World,""ARB"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1616"",""1654"","""",""1635"",""1568"",""1491"",""2030.4445"","""",""1906.7"",""1471"","""","""","""","""",""1722.304"","""","""","""","""","""","""","""","""","""","""","""","
"United Arab Emirates,""ARE"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Argentina,""ARG"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""7613"",""8506"",""9835"",""9824"",""9102"",""8696"",""8987"",""9445"",""10989"",""11603"",""12262"",""12628"",""12871"",""12025"",""10649"",""12112"",""12198"",""10583"",""9746"",""8893"",""8274"",""8529"",""8377"","""","""","""","""","
"Armenia,""ARM"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""381"",""419"",""323"",""354"",""344"",""452"",""529"",""678"",""654"",""668"",""771"",""705"",""718"",""743"",""816"",""867"",""851"",""786"",""640"",""658"",""690"","""","""","""","""","
"American Samoa,""ASM"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Antigua and Barbuda,""ATG"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Australia,""AUS"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""106195"",""110255"",""119619"",""125587"",""127963"",""133568"",""137534"",""150513"",""160580"",""168700"",""183944"",""189425"",""198961"",""218684"",""237163"",""258624"",""261420"",""290570"",""319000"",""367700"",""401600"",""413490"","""","""","""","""","""","
